id,x,y,estimation,variance
1,181922.790326,5038761.418214,3.1004023857178487,5.464892590558375
2,181922.790326,5038261.418214,3.1004023857178487,5.464892590558375
3,181922.790326,5037761.418214,3.1004023857178487,5.464892590558375
4,181922.790326,5037261.418214,3.1004023857178487,5.464892590558375
5,181922.790326,5036761.418214,3.1004023857178487,5.464892590558375
6,181922.790326,5036261.418214,3.1004023857178487,5.464892590558375
7,181922.790326,5035761.418214,3.1004023857178487,5.464892590558375
8,181922.790326,5035261.418214,3.1004023857178487,5.464892590558375
9,181922.790326,5034761.418214,3.1004023857178487,5.464892590558375
10,181922.790326,5034261.418214,3.1004023857178487,5.464892590558375
11,181922.790326,5033761.418214,3.1004023857178487,5.464892590558375
12,181922.790326,5033261.418214,3.1004023857178487,5.464892590558375
13,181922.790326,5032761.418214,3.1004023857178487,5.464892590558375
14,181922.790326,5032261.418214,3.1004023857178487,5.464892590558375
15,181922.790326,5031761.418214,3.1004023857178487,5.464892590558375
16,181922.790326,5031261.418214,3.1000445102344374,5.464760721851048
17,181922.790326,5030761.418214,3.091598010902491,5.4615834892188815
18,181922.790326,5030261.418214,3.077406352072611,5.455964798233886
19,181922.790326,5029761.418214,3.064607569733582,5.450596113446422
20,181922.790326,5029261.418214,3.058906933485622,5.448112847686543
21,181922.790326,5028761.418214,3.062808625345955,5.449818596729878
22,181922.790326,5028261.418214,3.0745984745618533,5.454811463170355
23,181922.790326,5027761.418214,3.0890568980780917,5.4606032597613705
24,181922.790326,5027261.418214,3.0991988623823867,5.46444823233422
25,181922.790326,5026761.418214,3.1004023857178487,5.464892590558375
26,181922.790326,5026261.418214,3.0983191407582575,5.464048040148412
27,181922.790326,5025761.418214,3.083991972305328,5.45799367811488
28,181922.790326,5025261.418214,3.06214901572396,5.447936297776168
29,181922.790326,5024761.418214,3.0406748188509445,5.437075014991764
30,181922.790326,5024261.418214,3.027292345292537,5.429818108897039
31,181922.790326,5023761.418214,3.0271917086873423,5.42976211640561
32,181922.790326,5023261.418214,3.040413489210264,5.436936893190976
33,181922.790326,5022761.418214,3.061824825402307,5.447779505058303
34,182422.790326,5038761.418214,3.1004023857178487,5.464892590558375
35,182422.790326,5038261.418214,3.1004023857178487,5.464892590558375
36,182422.790326,5037761.418214,3.1004023857178487,5.464892590558375
37,182422.790326,5037261.418214,3.1004023857178487,5.464892590558375
38,182422.790326,5036761.418214,3.1004023857178487,5.464892590558375
39,182422.790326,5036261.418214,3.1004023857178487,5.464892590558375
40,182422.790326,5035761.418214,3.1004023857178487,5.464892590558375
41,182422.790326,5035261.418214,3.1004023857178487,5.464892590558375
42,182422.790326,5034761.418214,3.1004023857178487,5.464892590558375
43,182422.790326,5034261.418214,3.1004023857178487,5.464892590558375
44,182422.790326,5033761.418214,3.1004023857178487,5.464892590558375
45,182422.790326,5033261.418214,3.1004023857178487,5.464892590558375
46,182422.790326,5032761.418214,3.1004023857178487,5.464892590558375
47,182422.790326,5032261.418214,3.1004023857178487,5.464892590558375
48,182422.790326,5031761.418214,3.1002987201529564,5.464854415230288
